experiment,arm,payload_regime,channel_family,condition,trials,capacity_success_rate,geometry_success_rate,exact_recover_rate,robust_recover_rate,decoder_wrong_output_rate,authenticated_false_acceptance_rate,substitution_replay,structure_recovery_rate,data_recovery_rate,diagnostic_accuracy_mean,localization_ms_mean,symbol_decode_ms_mean,ecc_ms_mean,authentication_ms_mean,total_decode_ms_mean
equal_area,custom_grid,medium,grayscale,grayscale,3,1.0,1.0,1.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,8.20650000241585,0.27520000003278255,94.85233333543874,0.16850000247359276,104.55996667345364
equal_area,custom_grid,medium,identity,identity,3,1.0,1.0,1.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,7.7545333285039915,0.2585333422757685,94.25309999884728,0.14663334392632046,103.49410000101973
equal_area,custom_grid,medium,jpeg,jpeg_q30,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,8.24116666141587,0.33393332463068265,113.0673333342808,0.14633333194069564,122.89463332854211
equal_area,custom_grid,medium,jpeg,jpeg_q50,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,13.740066671743989,0.2935000035601358,118.82083333330229,0.13716667308472097,134.10443334335773
equal_area,custom_grid,medium,jpeg,jpeg_q65,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,7.841166661819443,0.22106665225389102,97.38020000319618,0.14806666877120733,106.63640000469361
equal_area,custom_grid,medium,jpeg,jpeg_q80,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,8.196899997225652,0.3177666609796385,91.96210000663996,0.1368000036260734,101.77083334807928
equal_area,custom_grid,medium,jpeg,jpeg_q95,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,9.023799997521564,0.31736665793384117,137.7321666611048,0.17393333837389946,148.49003332589442
equal_area,custom_grid,medium,photo_recompress,photo_a0_bright_q50,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,7.906633332216491,0.2803000097628683,100.07456667760077,0.1459333385961751,109.3975000064044
equal_area,custom_grid,medium,photo_recompress,photo_a0_dark_q50,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,8.42756666437102,0.2915666652067254,161.90546667591357,0.1670333343402793,171.96749999614744
equal_area,custom_grid,medium,photo_recompress,photo_a0_normal_q50,3,1.0,1.0,0.0,1.0,0.0,0.0,n/a,1.0,1.0,1.0,8.180466674578687,0.3288999917761733,102.92200000064138,0.1574666724385073,112.71063333454852
