experiment,arm,payload_regime,payload_bytes,envelope_bytes,channel_family,condition,repetition,seed,capacity_ok,geometry_ok,build_error,native_ecc,protected_redundancy_ratio,logical_width_modules,logical_height_modules,module_px,min_module_mm,allocated_area_mm2,symbol_area_mm2,effective_capacity_bytes_per_mm2,capture_width_px,capture_height_px,decode_budget_ms,structure_data_independent,exact_recover,robust_recover,decoder_wrong_output,authenticated_false_acceptance,substitution_replay,structure_recovered,data_recovered,diagnostic_accuracy,localization_ms,symbol_decode_ms,ecc_ms,authentication_ms,total_decode_ms,decode_within_budget,output_bytes,notes
equal_area,qr_L,small,512,584,scale,scale_75,2,16603526500191491821,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,5.453599995234981,1.722499990137294,0.0,0.22310001077130437,8.08369999867864,1,584,
equal_area,qr_L,small,512,584,scale,scale_50,0,17702014459068795265,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,6.52049999916926,1.1897000076714903,0.0,0.13760000001639128,8.530799997970462,1,584,
equal_area,qr_L,small,512,584,scale,scale_50,1,18419573793117587945,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,7.598299998790026,1.7619999998714775,0.0,0.22659997921437025,10.32809997559525,1,584,
equal_area,qr_L,small,512,584,scale,scale_50,2,5418569207996018028,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,6.503500015242025,1.2030999932903796,0.0,0.15109998639672995,8.52209998993203,1,584,
equal_area,qr_L,small,512,584,scale,scale_25,0,9247728595838244249,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,5.728200019802898,1.7695999995339662,0.0,0.30659997719340026,8.510599989676848,1,584,
equal_area,qr_L,small,512,584,scale,scale_25,1,5305530528295038855,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,6.7974000121466815,1.1518000101204962,0.0,0.1346999779343605,8.743899990804493,1,584,
equal_area,qr_L,small,512,584,scale,scale_25,2,18224072951940468282,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,6.6571999923326075,1.6936000029090792,0.0,0.20360000780783594,9.402499999850988,1,584,
equal_area,qr_L,small,512,584,photo_recompress,photo_a0_dark_q50,0,2650332796532396392,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,6.842399976449087,1.1685999925248325,0.0,0.13410000246949494,8.78289999673143,1,584,
equal_area,qr_L,small,512,584,photo_recompress,photo_a0_dark_q50,1,8505179812678890229,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,7.396600005449727,1.2639000196941197,0.0,0.14170000213198364,9.518900013063103,1,584,
equal_area,qr_L,small,512,584,photo_recompress,photo_a0_dark_q50,2,2213529378651920519,1,1,,QR-L (decoder reports L),nan,105,105,11,1.375,22500.0,22500.0,0.022755555555555557,1600,1600,2000.0,0,0,1,0,0,n/a,1,1,,7.258500001626089,1.8042000010609627,0.0,0.19389999215491116,10.163200000533834,1,584,
